ICRF Designation,IERS Des.,Inf.,RA,Dec,dRA,dDec,Corr.,Mean,First,Last,Nbs,Nbd,Nbr
ICRF,J000020.3-322101,2357-326,0.085000,-32.350343,0.00000804,0.0002624,-0.0602,56559.8,52306.7,57776.0,4,237,0
ICRF,J000027.0+030715,2357+028,0.112594,3.121013,0.00005931,0.0003421,-0.0119,57974.7,57974.7,57974.7,1,28,0
ICRF,J000053.0+405401,2358+406,0.221171,40.900503,0.00001504,0.0002670,-0.1654,56460.2,50242.8,57809.9,3,152,0
ICRF,J000105.3-155107,2358-161,0.272203,-15.851965,0.00000702,0.0002261,-0.2106,56338.4,50632.3,58137.6,4,316,0
ICRF,J000107.0+605122,2358+605,0.279583,60.856333,0.00003378,0.0001948,0.1619,57160.2,52306.7,57836.8,3,172,0
ICRF,J000108.6+191433,2358+189,0.285923,19.242723,0.00000260,0.0000472,-0.0314,55771.9,50085.5,58205.8,168,3584,0
ICRF,J000211.9-215309,2359-221,0.549923,-21.886074,0.00001333,0.0004673,-0.3427,57436.5,54818.7,57901.9,3,103,0
ICRF,J000315.9-194150,0000-199,0.816456,-19.697334,0.00000936,0.0002972,-0.1961,57450.5,54088.1,58137.6,4,251,0
ICRF,J000318.6-192722,0000-197,0.827813,-19.456210,0.00001445,0.0004265,-0.0430,55829.0,50632.3,58137.6,5,296,0
ICRF,J000319.3+212944,0000+212,0.830625,21.495697,0.00000660,0.0001735,-0.1114,55896.9,50085.5,57901.9,4,297,0
ICRF,J000327.2-154705,0000-160,0.863601,-15.784849,0.00001190,0.0004173,-0.3759,57656.7,54818.7,58137.6,4,242,0
ICRF,J000346.0+480704,0001+478,0.941840,48.117815,0.00004146,0.0005023,-0.1189,57351.7,50306.3,57836.8,3,131,0
ICRF,J000404.9-114858,0001-120,1.020479,-11.816218,0.00000496,0.0001484,-0.0974,55476.6,50576.2,58144.4,5,307,0
ICRF,J000416.1+461517,0001+459,1.067199,46.254992,0.00001117,0.0001408,0.0152,55487.8,50306.3,57836.8,3,273,0
ICRF,J000435.6-473619,0002-478,1.148565,-47.605446,0.00000655,0.0001076,0.2307,55601.6,49330.5,58024.8,62,443,0
ICRF,J000435.7+201942,0002+200,1.148993,20.328422,0.00000638,0.0001418,-0.0807,55620.3,52409.7,57901.9,4,237,0
ICRF,J000504.3+542824,0002+541,1.268181,54.473590,0.00001102,0.0001075,-0.0918,55527.4,49577.0,57840.3,4,269,0
ICRF,J000505.9-344549,0002-350,1.274688,-34.763793,0.00001603,0.0005179,0.1211,57461.4,56879.0,57776.0,3,141,0
ICRF,J000517.9-164804,0002-170,1.324724,-16.801300,0.00000902,0.0003081,-0.2133,56257.4,50632.3,58144.4,4,327,0
ICRF,J000520.2+052410,0002+051,1.334231,5.403001,0.00001101,0.0003145,-0.0590,56409.9,49914.7,57951.4,3,187,0
ICRF,J000557.1+382015,0003+380,1.488231,38.337541,0.00000395,0.0000509,-0.1368,52448.6,48720.9,57103.0,29,1778,0
ICRF,J000559.2+160949,0003+158,1.496824,16.163617,0.00000831,0.0002043,-0.1831,57705.7,57407.7,57840.3,2,196,0
ICRF,J000601.1-295550,0003-302,1.504681,-29.930583,0.00001728,0.0005524,0.3906,56952.2,52409.7,57901.9,3,153,0
ICRF,J000607.3+342220,0003+340,1.530761,34.372335,0.00000877,0.0002258,0.0295,57129.7,55916.7,57872.7,3,287,0
ICRF,J000613.8-062335,0003-066,1.557887,-6.393149,0.00000205,0.0000314,-0.0235,53974.4,47176.5,58205.8,1729,41822,0
ICRF,J000623.0+123553,0003+123,1.596067,12.598083,0.00000726,0.0001948,-0.0804,57078.5,54112.8,57872.7,3,214,0
ICRF,J000648.7+242236,0004+240,1.703289,24.376776,0.00000590,0.0001486,-0.0694,55947.2,50085.5,57901.9,4,266,0
ICRF,J000748.4+570610,0005+568,1.951953,57.102900,0.00001234,0.0001161,-0.1491,56962.9,49577.0,57840.3,3,156,0
ICRF,J000800.3-233918,0005-239,2.001540,-23.655042,0.00000840,0.0002402,-0.3094,54996.2,50632.3,58059.7,7,227,0
ICRF,J000800.8+114400,0005+114,2.003493,11.733549,0.00001124,0.0002650,-0.1790,56532.8,52409.7,57872.7,3,244,0
ICRF,J000826.2-255911,0005-262,2.109385,-25.986539,0.00001126,0.0003720,-0.0821,54851.8,50632.3,57901.9,4,220,0
ICRF,J000833.4+683722,0005+683,2.139470,68.622791,0.00007017,0.0003937,-0.1861,56517.9,49827.5,57836.8,4,103,0
ICRF,J000833.6-360125,0006-363,2.140255,-36.023620,0.00004035,0.0017253,0.6183,56837.2,53552.8,57776.0,4,104,0
ICRF,J000903.9+062821,0006+061,2.266383,6.472567,0.00000703,0.0001949,0.0741,55830.6,52409.7,57407.7,4,295,0
ICRF,J000904.1+400146,0006+397,2.267390,40.029640,0.00001184,0.0001599,-0.0222,55264.6,50242.8,57836.8,3,236,0
ICRF,J000935.5-321636,0007-325,2.398157,-32.276925,0.00001535,0.0004072,-0.5863,56919.9,54965.8,58048.6,4,157,0
ICRF,J000943.0+772442,0006+771,2.429550,77.411668,0.00008231,0.0002879,0.0470,57904.5,57869.7,57915.1,2,196,0
ICRF,J000948.2+760318,0007+757,2.450976,76.055046,0.00014956,0.0003906,0.4862,57908.4,57869.7,57920.8,2,132,0
ICRF,J000958.6+015755,0007+016,2.494407,1.965319,0.00009413,0.0017967,-0.0081,58170.7,58170.7,58170.7,1,32,0
ICRF,J001000.3-043348,0007-048,2.501619,-4.563474,0.00001020,0.0002788,0.1965,57146.8,57104.0,57152.0,4,156,0
ICRF,J001028.7+204749,0007+205,2.619763,20.797163,0.00000950,0.0002454,-0.1885,57488.9,56809.7,57901.9,2,238,0
ICRF,J001030.0+441242,0007+439,2.625194,44.211807,0.00001216,0.0001948,-0.0065,56820.9,54088.1,57836.8,3,245,0
ICRF,J001031.0+105829,0007+106,2.629191,10.974862,0.00000245,0.0000385,-0.0921,55813.0,47288.7,58144.4,90,4042,0
ICRF,J001033.9+172418,0007+171,2.641628,17.405211,0.00000418,0.0000714,-0.0909,51818.3,47931.6,57103.0,43,1255,0
ICRF,J001034.9-305415,0008-311,2.645457,-30.904250,0.00001897,0.0006166,-0.0844,56676.9,55966.8,57804.9,2,132,0
ICRF,J001035.7-302747,0008-307,2.648926,-30.463172,0.00000896,0.0002712,0.1617,56802.7,52306.7,57804.9,3,145,0
ICRF,J001045.1-294513,0008-300,2.688239,-29.753661,0.00001361,0.0006079,-0.0561,56610.0,54088.1,57905.2,3,130,0
ICRF,J001052.5-415310,0008-421,2.718823,-41.886327,0.00003465,0.0010446,-0.2101,56510.8,48162.4,58137.6,11,106,0
ICRF,J001053.6-215704,0008-222,2.723542,-21.951172,0.00000594,0.0001971,-0.0105,54306.7,50632.3,57905.2,4,287,0
ICRF,J001101.2-261233,0008-264,2.755195,-26.209271,0.00000255,0.0000360,-0.1776,57115.3,47686.1,58204.3,377,6779,0
ICRF,J001130.4+005751,0008+006,2.876680,0.964410,0.00000642,0.0001960,0.0189,57596.7,56818.4,57971.2,2,197,0
ICRF,J001131.9+704531,0008+704,2.882928,70.758785,0.00002209,0.0000909,0.2383,55202.0,49827.5,57920.8,3,334,0
ICRF,J001135.2+082355,0009+081,2.896957,8.398774,0.00000489,0.0001180,-0.1832,56187.3,49914.7,57971.2,5,326,0
ICRF,J001140.4-143404,0009-148,2.918566,-14.567954,0.00000864,0.0002600,-0.0024,57176.2,54112.8,58144.4,4,295,0
ICRF,J001229.3+470434,0009+467,3.122095,47.076316,0.00001150,0.0001496,-0.1100,56902.2,53573.0,57840.3,3,233,0
ICRF,J001237.6+655110,0009+655,3.156961,65.853007,0.00009750,0.0006111,-0.0659,57022.1,53153.2,57836.8,3,99,0
ICRF,J001247.3+335338,0010+336,3.197426,33.894020,0.00001134,0.0002459,-0.1592,56709.4,53503.7,57872.7,3,180,0
ICRF,J001259.9-395426,0010-401,3.249624,-39.907238,0.00001040,0.0003203,0.4165,56050.7,52306.7,58030.7,6,158,0
ICRF,J001316.4+463608,0010+463,3.318704,46.602408,0.00001341,0.0001456,-0.1256,56359.6,50306.3,57840.3,3,235,0
ICRF,J001320.7-151347,0010-155,3.336257,-15.229940,0.00000894,0.0002711,0.0705,57446.4,54088.1,58159.9,4,284,0
ICRF,J001331.1+405137,0010+405,3.379709,40.860318,0.00000303,0.0000380,-0.1361,55697.0,48434.7,58204.3,77,4167,0
ICRF,J001354.1-042352,0011-046,3.475546,-4.397860,0.00000906,0.0001826,-0.2493,53669.3,50576.2,57373.7,4,170,0
ICRF,J001356.3+191041,0011+189,3.484901,19.178310,0.00000824,0.0002274,-0.0529,55493.4,50085.5,57872.7,4,291,0
ICRF,J001448.7+611743,0012+610,3.703301,61.295428,0.00002228,0.0001738,0.1781,57114.4,52409.7,57840.3,3,159,0
ICRF,J001502.4-181250,0012-184,3.760383,-18.214134,0.00000564,0.0001785,-0.0069,55320.7,50632.3,58159.9,5,393,0
ICRF,J001506.1+321613,0012+319,3.775614,32.270364,0.00000964,0.0001934,0.1075,55936.5,53523.9,57875.7,3,203,0
ICRF,J001525.8+080204,0012+077,3.857725,8.034503,0.00003526,0.0003360,0.1006,57974.7,57974.7,57974.7,1,54,0
ICRF,J001534.3-180725,0013-184,3.893019,-18.123774,0.00000902,0.0002969,-0.3326,57389.2,54112.8,58159.9,4,270,0
ICRF,J001605.7-234352,0013-240,4.023911,-23.731167,0.00001946,0.0006090,-0.4072,57441.7,56818.4,57905.2,2,136,0
ICRF,J001611.0-001512,0013-005,4.046202,0.253457,0.00000298,0.0000588,-0.1033,53733.1,47394.1,58137.6,106,1539,0
ICRF,J001708.4+813508,0014+813,4.285312,81.585593,0.00001390,0.0000306,-0.0241,52782.6,47023.7,58122.7,1307,72725,0
ICRF,J001735.8-051241,0015-054,4.399238,-5.211602,0.00001057,0.0001343,0.1498,56665.9,53561.9,57610.7,6,267,0
ICRF,J001736.9+145101,0015+145,4.403766,14.850522,0.00001888,0.0004824,0.1225,57687.2,57428.7,57872.7,2,158,0
ICRF,J001751.7+531219,0015+529,4.465666,53.205312,0.00001301,0.0001222,-0.3100,54814.3,49577.0,57840.3,3,220,0
ICRF,J001759.0-274821,0015-280,4.495858,-27.805993,0.00001181,0.0004070,-0.0154,56712.8,53573.0,57905.2,3,181,0
ICRF,J001922.8-220527,0016-223,4.845117,-22.091094,0.00000825,0.0002612,-0.4331,57963.8,57915.1,58048.6,3,147,0
ICRF,J001937.7+295601,0017+296,4.907460,29.933867,0.00003854,0.0007268,-0.3798,57427.5,56809.7,57905.2,2,133,0
ICRF,J001937.8+202145,0017+200,4.907727,20.362679,0.00000218,0.0000307,0.0286,57517.2,50085.5,58204.7,291,41577,0
ICRF,J001939.7+260252,0017+257,4.915752,26.047855,0.00000544,0.0001157,-0.1176,55258.1,50219.8,57428.7,5,290,0
ICRF,J001942.6-303119,0017-307,4.927814,-30.522041,0.00000707,0.0002148,-0.1324,56636.7,52306.7,58137.6,4,252,0
ICRF,J001945.7+732730,0016+731,4.940777,73.458338,0.00000711,0.0000304,-0.0411,55318.4,44343.6,58205.8,916,125817,0
ICRF,J002102.8+715020,0018+715,5.261724,71.839103,0.00003034,0.0001105,0.1617,56612.0,49827.5,57920.8,3,249,0
ICRF,J002127.3+731241,0018+729,5.364063,73.211648,0.00004697,0.0001757,0.1202,57251.6,49827.5,57920.8,3,175,0
ICRF,J002206.6+452533,0019+451,5.527547,45.426072,0.00000948,0.0001295,-0.1200,54976.0,50306.3,57840.3,4,308,0
ICRF,J002225.4+001456,0019-000,5.605941,0.248934,0.00001948,0.0006018,-0.1902,56709.1,50576.2,57971.2,3,142,0
