name,iauname,type,RA,DEC,RAJ2000,DEJ2000,dalp,ddel,coor,nobs,stot,stotunres,ctot,ctotunres,xtot,xtotunres,utot,utotunres,ktot,ktotunres,ctype,catname,flag
2357-006,J0000-0022,C,00:00:01.659825,-00:22:10.02434,0.0069159375,-0.3694512056,1.02,2.31,0.042,28,-1.0,-1.0,0.071,0.026,0.039,0.018,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2357-379,J0000-3738,C,00:00:08.414129,-37:38:20.67178,0.0350588708,-37.6390754944,1.7,3.9,0.626,69,-1.0,-1.0,0.019,0.019,0.019,0.02,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2357+025,J0000+0248,C,00:00:19.282429,+02:48:14.69040,0.0803434542,2.8040806667,0.18,0.39,-0.318,241,-1.0,-1.0,0.039,0.018,0.038,0.024,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2357+113,J0000+1139,C,00:00:19.563979,+11:39:20.72955,0.0815165792,11.6557582083,0.7,1.86,-0.188,29,-1.0,-1.0,0.022,0.008,0.018,0.011,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2357+028,J0000+0307,C,00:00:27.022483,+03:07:15.64704,0.1125936792,3.1210130667,0.16,0.3,-0.217,445,0.115,0.041,0.08,0.047,0.075,0.027,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358+289,J0000+2914,C,00:00:35.127791,+29:14:35.83490,0.1463657958,29.2432874722,0.72,1.13,0.396,44,-1.0,-1.0,0.056,0.047,0.028,0.027,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358+390,J0000+3918,C,00:00:41.527593,+39:18:04.14825,0.1730316375,39.3011522917,0.42,0.79,-0.344,45,-1.0,-1.0,0.07,0.056,0.094,0.076,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358+028,J0000+030B,C,00:00:44.327696,+03:07:54.20396,0.1846987333,3.1317233222,0.68,1.81,-0.157,54,0.035,-1.0,0.078,0.069,0.062,0.048,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358+240,J0001+2420,C,00:01:07.869870,+24:20:11.70881,0.282791125,24.3365857806,0.61,1.24,0.036,35,-1.0,-1.0,0.091,0.042,0.065,0.024,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358+189,J0001+1914,C,00:01:08.621569,+19:14:33.80172,0.2859232042,19.2427227,0.12,0.15,-0.063,6517,0.255,0.195,0.156,0.127,0.251,0.186,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358+024,J0001+0243,C,00:01:09.535552,+02:43:09.60137,0.2897314667,2.7193337139,0.24,0.55,-0.361,141,0.026,0.021,0.079,0.083,0.067,0.061,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358+236,J0001+2358,C,00:01:14.864560,+23:58:10.71049,0.3119356667,23.9696418028,0.43,0.81,0.243,49,-1.0,-1.0,0.056,0.038,0.069,0.052,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358+474,J0001+4742,C,00:01:19.041799,+47:42:00.72167,0.3293408292,47.7002004639,0.88,1.74,-0.319,35,-1.0,-1.0,0.046,0.03,0.038,0.025,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358-072,J0001-0656,C,00:01:25.586935,-06:56:24.93246,0.3566122292,-6.9402590167,0.41,0.97,-0.539,62,-1.0,-1.0,0.045,0.044,0.046,0.038,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358-137,J0001-1326,U,00:01:26.049975,-13:26:33.14264,0.3585415625,-13.4425396222,2.75,7.29,-0.686,8,-1.0,-1.0,0.022,0.013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2358-422,J0001-4155,U,00:01:32.757140,-41:55:25.33105,0.3864880833,-41.9237030694,78.87,40.37,-0.914,8,0.009,-1.0,-1.0,-1.0,0.008,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2359+071,J0001+0723,C,00:01:34.452192,+07:23:12.91287,0.3935508,7.3869202417,0.81,1.76,-0.218,26,-1.0,-1.0,0.071,0.037,0.052,0.03,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
2359+067,J0001+0701,C,00:01:43.467626,+07:01:23.55399,0.4311151083,7.0232094417,0.74,1.45,-0.151,36,-1.0,-1.0,0.046,0.032,0.04,0.027,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0000-215,J0002-2114,C,00:02:49.766939,-21:14:20.10656,0.7073622458,-21.2389184889,0.4,1.01,0.103,28,-1.0,-1.0,0.106,0.049,0.104,0.057,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0000+294,J0002+2942,C,00:02:52.431440,+29:42:53.22486,0.7184643333,29.7147846833,0.72,1.32,-0.029,31,-1.0,-1.0,0.02,0.014,0.028,0.017,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0000-566,J0002-5621,U,00:02:53.468281,-56:21:10.78260,0.7227845042,-56.3529951667,11.05,5.08,0.516,7,-1.0,-1.0,-1.0,-1.0,0.205,0.142,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0000+183,J0003+1837,C,00:03:01.160217,+18:37:59.01099,0.7548342375,18.6330586083,0.51,1.42,-0.28,36,-1.0,-1.0,0.084,0.032,0.053,0.02,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0000+019,J0003+0214,C,00:03:14.962863,+02:14:57.48301,0.8123452625,2.2493008361,0.19,0.46,-0.46,246,-1.0,-1.0,0.039,0.033,0.031,0.029,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0000+247,J0003+2459,C,00:03:16.312290,+24:59:38.37851,0.817967875,24.9939940306,0.56,0.87,0.319,45,-1.0,-1.0,0.059,0.04,0.048,0.045,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0000+070,J0003+0717,C,00:03:23.241375,+07:17:13.86177,0.8468390625,7.287183825,0.48,1.04,-0.038,45,-1.0,-1.0,0.03,0.01,0.023,0.012,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0000+218,J0003+2204,C,00:03:24.522812,+22:04:55.74999,0.8521783833,22.082152775,0.65,1.33,0.292,45,-1.0,-1.0,0.01,0.008,0.01,0.011,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0000+121,J0003+1227,C,00:03:33.592006,+12:27:48.24745,0.8899666917,12.4634020694,0.97,1.93,0.188,49,-1.0,-1.0,0.076,0.035,0.033,0.022,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001+478,J0003+4807,C,00:03:46.041596,+48:07:04.13551,0.9418399833,48.1178154194,0.3,0.29,-0.058,590,0.277,0.155,-1.0,-1.0,0.082,0.027,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001+158,J0003+1605,C,00:03:46.095702,+16:05:47.96041,0.942065425,16.0966556694,0.63,1.47,-0.031,45,-1.0,-1.0,0.042,0.033,0.021,0.012,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001-111,J0003-1053,C,00:03:56.331782,-10:53:01.91929,0.9847157583,-10.8838664694,1.5,3.63,0.406,24,-1.0,-1.0,0.019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001+324,J0003+3241,C,00:03:56.338444,+32:41:57.59679,0.9847435167,32.6993324417,0.62,1.17,-0.255,28,-1.0,-1.0,0.058,0.051,0.056,0.042,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001+059,J0003+0615,C,00:03:57.952180,+06:15:53.09642,0.9914674167,6.2647490056,0.66,1.31,-0.142,36,-1.0,-1.0,0.053,0.045,0.049,0.026,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001+084,J0003+0841,C,00:03:59.230099,+08:41:38.18584,0.9967920792,8.6939405111,0.61,1.25,0.059,90,-1.0,-1.0,-1.0,-1.0,0.015,0.013,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001+360,J0004+3617,C,00:04:04.212271,+36:17:20.40779,1.0175511292,36.2890021639,1.02,1.91,-0.228,28,-1.0,-1.0,0.039,0.033,0.027,0.012,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001+080,J0004+0821,C,00:04:10.592908,+08:21:57.54370,1.0441371167,8.3659843611,0.8,1.79,-0.268,36,-1.0,-1.0,0.017,0.012,0.015,0.01,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001-083,J0004-0802,C,00:04:21.768345,-08:02:35.36479,1.0907014375,-8.0431568861,2.04,4.41,0.424,18,-1.0,-1.0,-1.0,-1.0,0.03,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0001+415,J0004+4151,U,00:04:25.285169,+41:51:35.22900,1.1053548708,41.8597858333,7.13,14.74,-0.206,9,-1.0,-1.0,0.028,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0002-478,J0004-4736,C,00:04:35.655476,-47:36:19.60393,1.1485644833,-47.6054455361,0.21,0.23,0.267,820,0.326,0.284,-1.0,-1.0,0.251,0.21,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0002-350,J0005-3445,C,00:05:05.925088,-34:45:49.65523,1.2746878667,-34.7637931194,0.23,0.48,-0.055,494,0.097,0.082,-1.0,-1.0,0.101,0.079,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0002-018,J0005-0132,C,00:05:07.071823,-01:32:45.13513,1.2794659292,-1.5458708694,0.17,0.42,-0.244,228,-1.0,-1.0,0.039,0.023,0.034,0.018,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0002+051,J0005+0524,C,00:05:20.215505,+05:24:10.80307,1.3342312708,5.4030008528,0.12,0.21,-0.225,864,0.19,0.1,-1.0,-1.0,0.116,0.062,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0003-057,J0005-0530,C,00:05:42.070970,-05:30:09.29307,1.4252957083,-5.5025814083,0.63,1.55,-0.625,63,-1.0,-1.0,0.017,0.017,0.018,0.017,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0003-283,J0006-2801,C,00:06:03.982775,-28:01:41.37371,1.5165948958,-28.0281593639,1.52,2.87,-0.51,49,-1.0,-1.0,0.019,0.013,0.025,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0003+340,J0006+3422,C,00:06:07.382567,+34:22:20.40586,1.5307606958,34.3723349611,0.16,0.2,-0.104,685,0.06,0.062,-1.0,-1.0,0.064,0.056,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0004+413,J0006+4135,C,00:06:53.312649,+41:35:11.45791,1.7221360375,41.5865160861,1.53,1.24,-0.424,61,-1.0,-1.0,0.122,0.006,0.083,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0004+174,J0007+1745,C,00:07:18.873905,+17:45:34.56746,1.8286412708,17.7596020722,0.3,0.53,-0.069,126,-1.0,-1.0,-1.0,-1.0,0.022,0.02,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0004+056,J0007+0552,C,00:07:20.153602,+05:52:42.76015,1.8339733417,5.8785444861,0.61,1.67,-0.082,26,-1.0,-1.0,0.043,0.019,0.018,0.012,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005+021,J0007+0226,C,00:07:43.840163,+02:26:32.24571,1.9326673458,2.442290475,0.34,0.9,0.062,237,-1.0,-1.0,0.061,0.02,0.024,0.01,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005+101,J0007+1027,C,00:07:55.678370,+10:27:44.29869,1.9819932083,10.4623051917,0.2,0.41,-0.111,208,0.208,0.078,0.255,0.039,0.141,0.043,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005-239,J0008-2339,C,00:08:00.369612,-23:39:18.14989,2.00154005,-23.6550416361,0.14,0.28,-0.36,557,0.465,0.266,-1.0,-1.0,0.293,0.103,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005+024,J0008+0243,U,00:08:08.602786,+02:43:56.62363,2.0358449417,2.7323954528,1.6,3.85,-0.415,11,-1.0,-1.0,0.018,-1.0,0.016,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005+133,J0008+1336,C,00:08:13.285698,+13:36:48.49142,2.055357075,13.6134698389,1.03,2.1,0.242,48,-1.0,-1.0,0.067,0.037,0.05,0.035,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005+083,J0008+0838,U,00:08:19.817961,+08:38:41.46117,2.0825748375,8.644850325,10.2,6.55,0.226,9,-1.0,-1.0,0.031,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005+146,J0008+1456,C,00:08:25.399838,+14:56:35.79056,2.1058326583,14.9432751556,0.32,0.6,-0.008,126,-1.0,-1.0,-1.0,-1.0,0.021,0.015,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005-262,J0008-2559,C,00:08:26.252492,-25:59:11.54035,2.1093853833,-25.9865389861,0.18,0.37,-0.347,475,0.177,0.094,-1.0,-1.0,0.152,0.068,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005-137,J0008-1329,C,00:08:28.016821,-13:29:30.57386,2.1167367542,-13.4918260722,0.39,0.93,0.079,28,-1.0,-1.0,0.111,0.074,0.114,0.075,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0005+054,J0008+0545,C,00:08:31.150128,+05:45:53.94803,2.1297922,5.7649855639,1.56,2.59,-0.144,18,-1.0,-1.0,0.06,-1.0,0.033,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0006-239,J0008-233A,C,00:08:35.399624,-23:39:28.00853,2.1474984333,-23.6577801472,0.6,1.71,0.218,135,-1.0,-1.0,0.017,0.015,0.025,0.014,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0006-466,J0008-4619,C,00:08:37.545757,-46:19:40.85343,2.1564406542,-46.3280148417,3.11,1.8,0.238,34,-1.0,-1.0,-1.0,-1.0,0.074,0.066,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0006+06A,J0009+0625,C,00:09:17.055175,+06:25:54.74805,2.3210632292,6.4318744583,0.14,0.28,-0.144,337,0.111,0.07,0.152,0.102,0.086,0.065,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0006+362,J0009+3629,C,00:09:20.662926,+36:29:46.42188,2.336095525,36.4962283,3.36,3.49,-0.281,14,-1.0,-1.0,0.027,0.008,0.016,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0006+048,J0009+0507,C,00:09:24.169709,+05:07:25.01791,2.3507071208,5.1236160861,0.43,1.03,-0.177,36,-1.0,-1.0,0.073,0.043,0.062,0.035,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0006-164,J0009-1610,C,00:09:27.449250,-16:10:28.77992,2.364371875,-16.1746610889,0.77,2.34,-0.171,28,-1.0,-1.0,0.076,-1.0,0.063,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0007+149,J0009+1513,C,00:09:43.468665,+15:13:37.90610,2.4311194375,15.2271961389,0.23,0.42,0.029,154,-1.0,-1.0,0.12,0.09,0.093,0.069,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0007-048,J0010-0433,C,00:10:00.388658,-04:33:48.50682,2.5016194083,-4.5634741167,0.1,0.21,-0.413,1431,0.351,0.332,0.308,0.272,0.27,0.215,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0007+006,J0010+0054,C,00:10:09.961309,+00:54:40.11765,2.5415054542,0.9111437917,0.69,1.74,0.038,24,-1.0,-1.0,0.033,0.021,0.023,0.013,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0007+286,J0010+2854,C,00:10:27.785343,+28:54:58.75776,2.6157722625,28.9163216,0.43,0.94,-0.002,45,-1.0,-1.0,0.079,0.077,0.109,0.1,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008-307,J0010-3027,C,00:10:35.742194,-30:27:47.41839,2.6489258083,-30.463171775,0.17,0.34,-0.234,494,0.263,0.182,-1.0,-1.0,0.279,0.182,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008-146,J0010-1420,C,00:10:41.940183,-14:20:20.33736,2.6747507625,-14.3389826,0.76,1.81,0.029,81,-1.0,-1.0,-1.0,-1.0,0.021,0.018,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008-300,J0010-2945,C,00:10:45.177359,-29:45:13.17776,2.6882389958,-29.7536604889,0.18,0.44,-0.262,403,0.516,0.463,-1.0,-1.0,0.199,0.059,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008-079,J0010-0740,C,00:10:50.601299,-07:40:12.04238,2.7108387458,-7.6700117722,0.84,2.21,-0.143,33,-1.0,-1.0,0.029,0.012,0.024,0.012,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008+265,J0010+2650,C,00:10:51.225434,+26:50:25.91606,2.7134393083,26.8405322389,0.32,0.72,-0.355,45,-1.0,-1.0,0.062,0.059,0.086,0.075,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008-006,J0010-0020,C,00:10:52.499963,-00:20:06.61965,2.7187498458,-0.335172125,0.7,1.79,-0.179,45,-1.0,-1.0,0.039,0.014,0.019,0.012,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008-279,J0010-2742,C,00:10:55.277122,-27:42:25.01437,2.7303213417,-27.7069484361,0.56,1.36,-0.318,43,-1.0,-1.0,0.054,0.036,0.052,0.035,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008+161,J0011+1624,C,00:11:12.456507,+16:24:29.38663,2.8019021125,16.4081629528,2.98,3.82,0.02,22,-1.0,-1.0,0.028,-1.0,0.021,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008-033,J0011-0304,C,00:11:14.547431,-03:04:21.67391,2.8106142958,-3.0726871972,0.71,1.68,0.477,28,-1.0,-1.0,0.099,-1.0,0.055,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008+240,J0011+2420,C,00:11:24.580942,+24:20:22.31354,2.8524205917,24.3395315389,0.68,0.96,-0.276,74,-1.0,-1.0,0.087,0.021,0.029,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0008+006,J0011+0057,C,00:11:30.403219,+00:57:51.87684,2.8766800792,0.9644102333,0.1,0.21,-0.165,1217,0.146,0.123,-1.0,-1.0,0.174,0.123,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0009+217,J0011+2159,C,00:11:45.519595,+21:59:11.45457,2.9396649792,21.9865151583,0.51,1.37,-0.375,36,-1.0,-1.0,0.028,0.02,0.039,0.032,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0009+291,J0011+2928,C,00:11:45.981966,+29:28:30.60271,2.941591525,29.4751674194,0.97,1.26,-0.39,36,-1.0,-1.0,0.071,0.023,0.052,0.01,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0010-873,J0011-8706,C,00:11:51.476922,-87:06:25.45183,2.964487175,-87.1070699528,9.07,0.45,-0.119,118,-1.0,-1.0,-1.0,-1.0,0.124,0.101,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0009-390,J0012-3846,C,00:12:15.150594,-38:46:19.27013,3.063127475,-38.7720194806,0.86,1.98,-0.155,28,-1.0,-1.0,0.064,0.04,0.043,0.023,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0009+467,J0012+4704,C,00:12:29.302897,+47:04:34.73789,3.1220954042,47.0763160806,0.19,0.17,-0.126,455,0.113,0.081,-1.0,-1.0,0.131,0.09,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0009+175,J0012+1751,C,00:12:31.589775,+17:51:29.95587,3.1316240625,17.858321075,0.52,1.13,-0.164,36,-1.0,-1.0,0.081,0.052,0.057,0.021,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0010-147,J0012-1431,U,00:12:41.614947,-14:31:12.08168,3.1733956125,-14.5200226889,14.81,17.79,-0.283,7,-1.0,-1.0,0.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0010+336,J0012+3353,C,00:12:47.382167,+33:53:38.47187,3.1974256958,33.8940199639,0.17,0.19,-0.219,533,0.073,0.057,-1.0,-1.0,0.134,0.117,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0010+426,J0013+4255,C,00:13:01.266427,+42:55:24.53444,3.2552767792,42.9234817889,1.53,1.68,-0.75,36,-1.0,-1.0,0.043,0.026,0.031,0.015,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0010+463,J0013+4636,C,00:13:16.488848,+46:36:08.67052,3.3187035333,46.6024084778,0.19,0.16,-0.154,447,0.255,0.078,-1.0,-1.0,0.15,0.073,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0010-155,J0013-1513,C,00:13:20.701805,-15:13:47.78518,3.3362575208,-15.2299403278,0.12,0.27,-0.26,679,0.155,0.124,0.146,0.114,0.136,0.05,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0011-327,J0013-3226,N,00:13:38.268641,-32:26:56.23477,3.4094526708,-32.4489541028,4.39,13.3,0.243,41,-1.0,-1.0,0.027,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0011-32B,J0013-3227,C,00:13:38.271205,-32:27:49.88275,3.4094633542,-32.4638563194,0.84,2.36,-0.017,73,-1.0,-1.0,0.026,0.026,0.029,0.023,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0011-258,J0013-2537,N,00:13:44.111060,-25:37:12.54628,3.4337960833,-25.6201517444,4.97,11.48,-0.594,19,-1.0,-1.0,0.026,-1.0,0.015,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0011+264,J0013+2646,U,00:13:46.584047,+26:46:35.83952,3.4441001958,26.7766220889,14.26,13.04,0.592,4,-1.0,-1.0,0.014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0011-046,J0013-0423,C,00:13:54.130979,-04:23:52.29514,3.4755457458,-4.3978597611,0.12,0.24,-0.259,544,0.337,0.301,-1.0,-1.0,0.32,0.27,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0011+189,J0013+1910,C,00:13:56.376122,+19:10:41.91563,3.4849005083,19.1783098972,0.15,0.25,-0.205,536,0.086,0.066,-1.0,-1.0,0.108,0.091,0.131,0.093,-1.0,-1.0,Fus,rfc_2024,-
0011+279,J0014+2815,C,00:14:33.789959,+28:15:06.69256,3.6407914958,28.2518590444,0.53,1.19,-0.139,45,-1.0,-1.0,0.028,0.018,0.03,0.017,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0012-202,J0014-2000,C,00:14:34.466955,-20:00:31.88898,3.6436123125,-20.00885805,0.81,2.33,-0.149,49,-1.0,-1.0,0.083,-1.0,0.077,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0012-312,J0014-3059,C,00:14:37.933974,-30:59:19.37487,3.658058225,-30.9887152417,1.65,4.78,-0.073,24,-1.0,-1.0,0.113,-1.0,0.038,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0012-008,J0015-0034,C,00:15:03.396967,-00:34:59.33854,3.7641540292,-0.5831495944,0.21,0.48,-0.037,285,-1.0,-1.0,0.043,0.02,0.034,0.023,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0012-308,J0015-3036,C,00:15:30.992019,-30:36:08.39953,3.8791334125,-30.6023332028,0.86,1.75,0.046,62,-1.0,-1.0,0.029,0.028,0.037,0.03,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0012+305,J0015+3052,N,00:15:36.022241,+30:52:29.79524,3.9000926708,30.8749431222,2.38,8.14,-0.432,41,-1.0,-1.0,-1.0,-1.0,0.017,0.005,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0013+167,J0015+1700,C,00:15:39.986801,+17:00:40.60199,3.9166116708,17.0112783306,0.24,0.32,-0.334,209,-1.0,-1.0,0.13,0.097,0.138,0.102,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0013+243,J0016+2440,C,00:16:03.616884,+24:40:14.69877,4.01507035,24.6707496583,0.5,1.13,-0.122,45,-1.0,-1.0,0.046,0.019,0.035,0.022,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0013-240,J0016-2343,C,00:16:05.738648,-23:43:52.19975,4.0239110333,-23.7311665972,0.26,0.56,-0.544,342,0.153,0.095,-1.0,-1.0,0.072,0.04,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0013-340,J0016-3346,N,00:16:05.949977,-33:46:15.07739,4.0247915708,-33.7708548306,7.26,22.33,0.565,13,-1.0,-1.0,0.058,-1.0,0.024,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0013-005,J0016-0015,C,00:16:11.088554,-00:15:12.44536,4.0462023083,-0.2534570444,0.09,0.18,-0.131,4733,0.86,0.566,-1.0,-1.0,0.425,0.281,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0013-144,J0016-1410,C,00:16:25.739470,-14:10:31.97771,4.1072477917,-14.1755493639,1.58,2.98,0.854,15,-1.0,-1.0,0.078,0.072,0.063,0.057,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0014-288,J0017-2836,C,00:17:02.000398,-28:36:51.11891,4.2583349917,-28.6141996972,1.14,3.79,0.135,28,-1.0,-1.0,0.065,-1.0,0.036,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0014-212,J0017-2059,U,00:17:03.035525,-20:59:12.67061,4.2626480208,-20.9868529472,13.89,13.82,0.638,6,-1.0,-1.0,0.017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0014-299,J0017-2942,C,00:17:04.526311,-29:42:18.40171,4.2688596292,-29.7051115861,1.2,3.95,0.153,28,-1.0,-1.0,0.083,-1.0,0.034,-1.0,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0015-280,J0017-2748,C,00:17:59.005944,-27:48:21.57355,4.4958581,-27.8059926528,0.15,0.31,-0.293,619,0.261,0.045,-1.0,-1.0,0.317,0.082,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
0015+227,J0018+2259,C,00:18:07.972515,+22:59:36.40331,4.5332188125,22.9934453639,0.42,1.06,-0.221,45,-1.0,-1.0,0.044,0.04,0.027,0.027,-1.0,-1.0,-1.0,-1.0,Fus,rfc_2024,-
