INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV
0,0,RACS_1413-70,36751,0,36716,IMAGED,14 13 40.491,-70 18 22.76,213.41871249999997,-70.30632222222222,309.80497788583244,-8.53977156393277,99.976,5150298752.557438,915.7017598431396,915.7017600000001,36,5221270402.228172,197161796,9.299999999999988,6.400000000000008,19.67,-0.014146852307021618,0.8440338969230652,204.94786256149666,198.20869613759945,146.81261847080887,139.08244699261823,1737.0088773802354,5221280572.0,4536,0,0,0,,100
1,1,RACS_1313-72,36654,0,36656,IMAGED,13 13 21.588,-72 45 46.24,198.33995,-72.76284444444444,304.57850977622513,-9.96121954061534,115.859,5150121591.804286,915.7017598431396,915.7017600000001,36,5223410412.953341,197055965,10.100000000000016,6.599999999999988,12.82,-0.006508186925202608,1.1366299390792847,187.0571034673941,181.31474795391074,111.10697960609437,128.62221482420426,1536.409710317828,5223416712.0,4536,0,0,0,,100
2,2,RACS_1200-73,36443,0,36447,IMAGED,12 00 00,-73 39 49.07,179.99999999999997,-73.66363055555556,299.2735594718955,-11.158324293709606,135.0,5149773591.847294,975.4214406292724,975.4214400000001,36,5223263753.053644,197453794,12.999999999999996,6.999999999999984,37.37,-0.006310078781098127,0.7244743704795837,193.4225479702847,183.60725909448774,193.6121774184945,130.5705057063573,1734.3315650481838,5223307108.0,4536,0,0,0,,100
3,3,RACS_1046-72,36472,0,36447,IMAGED,10 46 38.411,-72 45 46.24,161.66004583333333,-72.76284444444444,293.8990412123923,-12.117614324770152,154.141,5149849754.345854,915.7017607968139,915.7017600000001,36,5223277677.285545,197652350,11.999999999999988,7.300000000000007,15.9,-0.007745074108242989,2.067094087600708,184.9659982657238,179.3359136046312,108.5457769456389,123.70632134869507,1793.8151320675906,5223307520.0,4536,0,0,0,,100
4,4,RACS_0946-70,36387,0,36349,IMAGED,09 46 19.508,-70 18 22.76,146.58128333333332,-70.30632222222222,288.4674837873096,-12.827793456312929,170.024,5149678980.833662,905.7484803479003,905.7484800000001,36,5223232223.974771,197443439,9.299999999999988,6.599999999999988,17.8,-0.017401885241270065,0.47898638248443604,192.14836061221746,186.4863716457663,95.86172994617993,132.72731122129312,1494.0803476931696,5223248986.0,4536,0,0,0,,100
5,5,RACS_1515-72,37229,0,37230,IMAGED,15 15 34.107,-72 04 25.51,228.89211249999997,-72.07375277777777,313.60951400595815,-12.258566127975458,84.701,5150903063.29843,915.7017598431396,915.7017600000001,36,5223463036.786934,196945011,11.7,7.2,-17.56,-0.006514812353998423,0.8573992252349854,192.81424373233645,187.08067011218324,105.83266852760764,128.99019172052,1489.1956009804717,5223473464.0,4536,0,0,0,,100
6,6,RACS_1418-75,37101,0,37102,IMAGED,14 18 42.284,-75 45 16.71,214.6761833333333,-75.75464166666667,308.33557766939686,-13.80656153505988,99.482,5150638772.306302,905.7484803479003,905.7484800000001,36,5221257301.110514,197112802,10.50000000000001,6.800000000000004,-8.08,-0.005849988199770451,0.971506655216217,181.28948904480026,175.04816742420465,135.51869183228646,124.34267025686707,1594.0245903360128,5221269714.0,4536,0,0,0,,100
7,7,RACS_1252-78,36593,0,36547,IMAGED,12 52 05.776,-78 00 42.46,193.02406666666664,-78.01179444444445,302.96734128571904,-15.140092131640234,121.696,5150030593.61011,905.7484803479003,905.7484800000001,36,5223384279.0289,197306814,11.50000000000002,7.099999999999992,-5.26,-0.00606914609670639,0.44344010949134827,190.75914132674595,184.94949783336972,116.18383911213775,132.56840886143598,1523.9209513738476,5223395602.0,4536,0,0,0,,100
8,8,RACS_1107-78,36474,0,36447,IMAGED,11 07 54.223,-78 00 42.46,166.97592916666665,-78.01179444444445,297.5125609519951,-16.243721183833745,148.304,5149852143.133055,905.748479394226,905.7484800000001,36,5218403145.717734,197401966,13.700000000000015,7.900000000000019,15.6,-0.007237564772367477,1.5679996013641357,189.78938886728704,183.21488740214932,120.26239773175071,128.63715548617827,1627.6496451726396,5218409532.0,2814,0,0,0,,100
9,9,RACS_0941-75,36434,0,36447,IMAGED,09 41 17.715,-75 45 16.71,145.32381249999997,-75.75464166666667,291.9832930464391,-17.103969386770483,170.518,5149762981.650814,975.4214406292724,975.4214400000001,36,5223257735.123057,197871692,13.30000000000002,7.400000000000016,27.17,-0.014203060418367386,1.6245598793029785,184.22342530880442,178.56492267852522,95.3718995944921,120.84658646071018,1444.333969353746,5223306910.0,4536,0,0,0,,100
10,10,RACS_0844-72,36467,0,36447,IMAGED,08 44 25.892,-72 04 25.51,131.10788333333332,-72.07375277777777,286.39553879475267,-17.70985218339222,-174.701,5149842428.731774,905.7484803479003,905.7484800000001,36,5223276308.197692,197649981,11.900000000000015,7.499999999999988,16.26,-0.020203862339258194,1.5955102443695068,184.49736737250575,178.60317920171377,132.67863239929653,126.17636893394702,2790.3521561110083,5223307488.0,4536,0,0,0,,100
11,11,RACS_1625-72,36605,0,36547,IMAGED,16 25 11.603,-72 19 38.12,246.29834583333331,-72.32725555555555,317.6171979920829,-15.873942655580983,67.699,5150046121.27987,905.7484803479003,905.7484800000001,36,5218462009.749036,196899759,9.699999999999983,6.500000000000016,9.44,-0.011482933536171913,0.5810109376907349,188.51358118191573,182.56605932812403,109.18677184684599,129.60433677181302,1513.0374984797768,5218474604.0,2720,0,0,0,,100
12,12,RACS_1547-77,36548,0,36547,IMAGED,15 47 19.608,-77 06 42.13,236.83169999999996,-77.11170277777777,312.27999759694603,-17.555600480858377,77.502,5149958812.103038,905.7484803479003,905.7484800000001,36,5223364500.511187,196957530,10.900000000000007,6.900000000000012,15.91,-0.017988620325922966,4.1454291343688965,179.26923357353465,172.6180604736182,98.96897665249786,124.16677708268784,1834.5214640148663,5223395129.0,4536,0,0,0,,100
13,13,RACS_1430-81,37183,0,37184,IMAGED,14 30 09.636,-81 08 49.22,217.54014999999995,-81.14700555555557,306.8298060205672,-19.03190898269673,97.128,5150813362.569598,915.7017598431396,905.7484800000001,36,5223456693.327756,196609595,15.500000000000016,8.799999999999985,-16.91,-0.007537774741649628,0.48916134238243103,183.4028454689382,176.1526717499001,134.0231799967435,121.4527401595402,1786.801563712559,5223473304.0,4536,0,0,0,,100
14,14,RACS_1200-83,36477,0,36447,IMAGED,12 00 00,-82 59 26.35,179.99999999999997,-82.99065277777778,301.272682252946,-20.285208292363553,135.0,5149855716.360575,915.7017598431396,915.7017600000001,36,5223278961.280612,197630362,16.099999999999994,10.400000000000004,14.38,-0.01054247934371233,0.8717207908630371,186.00408654463916,175.48015829988972,181.20235499081784,115.16017221008255,2303.512335707295,5223307573.0,4536,0,0,0,,100
15,15,RACS_0929-81,36435,0,36447,IMAGED,09 29 50.363,-81 08 49.22,142.4598458333333,-81.14700555555557,295.6197829603799,-21.299520323345032,172.872,5149764016.791934,955.5148806851196,955.5148800000002,36,5223258969.907944,197947090,15.199999999999992,8.799999999999985,31.11,-0.011245871894061565,1.9913654327392578,181.49028096577254,175.4221022692241,98.3519196140876,121.11966816737441,1374.5458106627016,5223306939.0,4536,0,0,0,,100
16,16,RACS_0812-77,36431,0,36447,IMAGED,08 12 40.391,-77 06 42.13,123.1682958333333,-77.11170277777777,289.8872364251977,-22.06117320145451,-167.502,5149759119.778174,895.7951998989868,895.7952000000001,36,5221270300.050495,197890646,14.4,7.499999999999988,28.35,-0.009598582983016968,1.9190031290054321,236.61152392161875,228.5095851099085,171.8611221364337,159.03021725484228,1833.6843118745367,5221280101.0,4536,0,0,0,,100
17,17,RACS_0734-72,36381,0,36349,IMAGED,07 34 48.396,-72 19 38.12,113.70164999999997,-72.32725555555555,284.09560715359646,-22.559437714693797,-157.699,5149671744.799102,905.7484803479003,905.7484800000001,36,5223226509.951223,197660198,10.000000000000009,6.500000000000016,17.9,-0.007122719660401344,0.6239529252052307,194.69103519787515,188.6239378183089,112.75593735360249,135.36787633987777,1680.0528965321535,5223232903.0,4536,0,0,0,,100
18,18,RACS_1726-73,36610,0,36547,IMAGED,17 26 41.655,-73 38 12.38,261.6735625,-73.63677222222223,319.19671770298646,-20.297859153028632,52.994,5150051994.046846,915.7017598431396,915.7017600000001,36,5218462007.83386,196974896,10.400000000000004,6.599999999999988,19.95,-0.006060314364731312,0.7048500776290894,186.6340015091836,180.7993506133003,115.12827276947692,126.25866063530133,1449.400814839696,5218474755.0,2711,0,0,0,,100
19,19,RACS_1710-79,36709,0,36716,IMAGED,17 10 49.671,-78 57 10.22,257.7069625,-78.95283888888889,313.71584837211793,-22.027478553872022,57.072,5150218071.490942,905.7484803479003,905.7484800000001,36,5223427287.295464,196336642,14.799999999999995,7.800000000000012,-23.18,-0.014493105001747608,0.8346096277236938,218.17168030056627,211.76278683339666,198.89063633602788,145.93124672428073,15022.105404321488,5223434634.0,4536,0,0,0,,100
20,20,RACS_1626-84,36657,0,36656,IMAGED,16 26 10.766,-84 07 01.029,246.5448583333333,-84.1169525,308.10099512087584,-23.550595678565863,68.345,5150132341.346686,905.7484803479003,905.7484800000001,36,5223410151.209115,195660922,14.199999999999983,9.100000000000007,11.37,-0.009671126492321491,1.2275078296661377,184.00454892327468,177.71269861162892,99.73874386933866,118.27146644677119,1408.4347441427967,5223416737.0,4536,0,0,0,,100
21,21,RACS_1200-87,36539,0,36547,IMAGED,12 00 00,-87 39 42.58,179.99999999999997,-87.66182777777779,302.3586027552954,-24.847567805545136,135.0,5149939841.151359,905.748479394226,905.7484800000001,36,5218424793.310091,196906019,14.100000000000012,13.700000000000015,-81.09,-0.005929611157625914,1.0090267658233643,190.52694319264813,182.5713163192836,156.4612887791471,119.94846703124276,2179.1947847653355,5218454743.0,2657,0,0,0,,100
22,22,RACS_0733-84,36430,0,36447,IMAGED,07 33 49.233,-84 07 01.029,113.45513749999998,-84.1169525,296.50127657830694,-25.900432519725513,-158.345,5149757945.291135,905.748479394226,905.7484800000001,36,5223255863.925384,198406566,16.599999999999998,10.599999999999984,25.57,-0.006169856991618872,0.9170414209365845,185.5545072223276,179.03585501983224,111.03276285740057,111.82889097085081,1598.6494173201213,5223306840.0,4536,0,0,0,,100
23,23,RACS_0649-79,36427,0,36447,IMAGED,06 49 10.328,-78 57 10.22,102.29303333333333,-78.95283888888889,290.5477820087525,-26.693669775828358,-147.072,5149754362.110334,915.7017598431396,915.7017600000001,36,5223253720.046733,197849491,15.100000000000021,7.999999999999992,29.44,-0.007022281643003225,1.2223351001739502,184.04520485823554,178.24441274947952,111.25842963081494,123.86025527037896,2325.5707307423904,5223261619.0,4536,0,0,0,,100
24,24,RACS_0633-73,36424,0,36447,IMAGED,06 33 18.344,-73 38 12.38,98.32643333333331,-73.63677222222223,284.522501493974,-27.21498879056978,-142.994,5149750868.509054,905.7484803479003,905.7484800000001,36,5223253067.428545,197449394,13.100000000000003,7.499999999999988,26.29,-0.007551684509962797,3.624765396118164,187.25894520775842,181.60079933901756,110.13918637495884,121.42847342522963,1807.9451440085827,5223258155.0,4536,0,0,0,,100
25,25,RACS_1833-73,37153,0,37146,IMAGED,18 33 18.344,-73 38 12.38,278.32643333333334,-73.63677222222223,320.93695993299224,-24.68932360671869,37.006,5150743749.329278,915.7017598431396,915.7017600000001,36,5223445245.377374,197447156,12.399999999999984,7.2,-11.53,-0.007360060699284077,2.407155752182007,194.86907325557993,188.15230033886849,127.27636399299695,125.98139944564333,1968.71426796542,5223473092.0,4536,0,0,0,,100
26,26,RACS_1849-79,37190,0,37184,IMAGED,18 49 10.328,-78 57 10.22,282.29303333333326,-78.95283888888889,315.29235233890273,-26.477630978882768,32.928,5150830004.453758,915.7017598431396,915.7017600000001,36,5223459503.855143,196950074,14.699999999999989,8.1,-13.4,-0.006646760273724794,0.821678638458252,183.87558727108876,177.89787092663462,112.65312876722227,122.5748507511713,1480.9361847353653,5223473372.0,4536,0,0,0,,100
27,27,RACS_1933-84,37262,0,37263,IMAGED,19 33 49.233,-84 07 01.029,293.4551375,-84.1169525,309.48756027104054,-28.057400334843397,21.655,5151259600.073086,905.7484803479003,905.7484800000001,36,5223464674.218486,196863038,17.499999999999996,10.900000000000007,-33.02,-0.007037159986793995,0.5450103878974915,205.4996815675095,198.71792906525263,122.76677842621301,119.03198530622727,1846.7676998333545,5223473491.0,4536,0,0,0,,100
28,28,RACS_0000-87,36724,0,36716,IMAGED,00 00 00,-87 39 42.58,0.0,-87.66182777777779,303.52911905260976,-29.406511943702554,-45.0,5150246843.437438,905.7484803479003,905.7484800000001,36,5223436312.704139,194436637,13.899999999999995,13.399999999999991,-71.34,-0.012323523871600628,0.5053724050521851,204.67491234736235,196.30875874136177,166.52356382062484,124.29265360906444,2111.032301359834,5223443087.0,4536,0,0,0,,100
